MS number;Submission date;Phylo Reviewer;Analysis;Not able to rerun;Did not include the necessary files;Matrix without characters/states descriptions;More details about search procedure needed;Search procedure not robust;Different consensus topology;Different number of MPTs;MPTs not uploaded
JVP-1.R2;13/07/2022;Pedro Godoy;MP;1;1;1;1;0;0;0;1
JVP-1.R3;11/10/2022;Pedro Godoy;MP;0;0;1;0;0;1;1;1
JVP-1.R4;16/12/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;0
JVP-2.R1;30/05/2022;Pedro Godoy;MP, ML;1;1;0;1;0;0;0;1
JVP-2.R2;28/02/2023;Pedro Godoy;MP, ML;1;0;0;1;0;1;1;1
JVP-3.R2;15/06/2022;Pedro Godoy;MP;0;1;1;0;0;0;0;1
JVP-4.R2;18/07/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;1
JVP-4.R3;29/07/2022;Pedro Godoy;MP;0;0;0;0;0;0;0;1
JVP-4.R4;29/11/2022;Pedro Godoy;MP;0;0;1;0;0;0;1;0
JVP-4.R5;27/01/2023;Pedro Godoy;MP;0;0;1;0;0;0;0;0
JVP-5.R1;18/07/2022;Pedro Godoy;MP;1;1;1;0;0;0;0;1
JVP-5.R2;29/09/2022;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-6.R1;13/05/2022;Pedro Godoy;MP;1;0;1;1;0;1;1;1
JVP-7.R1;19/09/2022;Pedro Godoy;MP, BI;0;0;1;1;0;1;1;0
JVP-7.R2;24/11/2022;Pedro Godoy;MP, BI;0;0;0;0;0;0;0;1
JVP-8;22/04/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;0
JVP-9;31/05/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;1
JVP-9.R1;30/11/2022;Pedro Godoy;MP, BI;0;0;0;0;0;0;1;1
JVP-9.R2;18/12/2022;Pedro Godoy;MP, BI;0;0;0;0;0;0;0;0
JVP-10.R1;28/07/2022;Pedro Godoy;MP;0;0;1;1;1;0;0;1
JVP-11;23/06/2022;Pedro Godoy;MP, BI;0;1;0;0;0;0;0;0
JVP-12;06/07/2022;Pedro Godoy;MP, BI;1;0;1;1;0;1;1;1
JVP-12.R1;19/09/2022;Pedro Godoy;MP, BI;0;0;0;0;0;0;0;0
JVP-13;09/07/2022;Pedro Godoy;MP;1;1;1;1;0;0;0;1
JVP-13.R1;09/11/2022;Pedro Godoy;MP;0;0;0;1;0;1;1;1
JVP-13.R2;16/12/2022;Pedro Godoy;MP;0;1;0;1;0;1;1;0
JVP-13.R3;17/01/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-14;22/07/2022;Pedro Godoy;MP;0;0;1;1;0;0;0;1
JVP-14.R1;24/02/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-15;28/07/2022;Pedro Godoy;MP;0;0;1;1;0;0;0;1
JVP-15.R1;22/10/2022;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-16;04/08/2022;Pedro Godoy;MP;1;0;1;1;0;0;1;1
JVP-16.R1;06/01/2023;Pedro Godoy;MP;1;0;0;1;0;1;1;0
JVP-17.R1;21/10/2022;Pedro Godoy;MP;0;0;1;1;0;0;0;1
JVP-18;08/08/2022;Pedro Godoy;MP;0;0;1;0;1;0;0;0
JVP-18.R1;03/04/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-19;02/09/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;1
JVP-20;06/09/2022;Pedro Godoy;MP;0;0;0;1;1;0;0;1
JVP-20.R1;02/11/2022;Pedro Godoy;MP;0;0;0;0;0;0;0;1
JVP-21.R1;02/10/2022;Pedro Godoy;MP;0;0;0;1;0;0;0;0
JVP-21.R2;27/03/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-22;27/09/2022;Pedro Godoy;MP;0;0;1;0;0;0;0;0
JVP-22.R1;05/03/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-23;17/10/2022;Pedro Godoy;MP;1;1;1;0;0;0;0;1
JVP-23.R1;03/08/2023;Pedro Godoy;MP;0;0;0;1;0;0;1;1
JVP-23.R2;26/10/2023;Pedro Godoy;MP;0;0;0;0;0;0;0;0
JVP-24;15/11/2022;Pedro Godoy;MP;0;0;1;1;1;0;0;1
JVP-24.R1;09/03/2023;Pedro Godoy;MP;0;0;0;1;0;0;0;0
